date,jkm,hh,ttf,psv,pvb,peg
2009-03-03 12:00:00,11.691524,5.98582,7.651486,11.921143,9.893749,10.860592
2009-03-04 12:00:00,13.176891,12.36463,6.4823594,10.766245,9.683193,7.86633
2009-03-05 12:00:00,13.35398,16.086557,7.560717,8.915482,9.370026,5.928305
2009-03-06 12:00:00,13.469626,17.85397,6.267259,9.501829,12.279343,8.134086
2009-03-07 12:00:00,13.53558,19.02816,7.5275464,14.170374,13.998802,10.566366
2009-03-08 12:00:00,14.398204,19.524704,7.9140706,14.273869,14.542919,11.655928
2009-03-09 12:00:00,14.067262,20.083939,7.2024155,14.178558,14.151875,10.669083
2009-03-10 12:00:00,13.449288,20.812218,7.983786,12.959024,14.765232,10.770441
2009-03-11 12:00:00,13.191459,19.987728,7.778891,14.5095005,15.7137985,12.076426
2009-03-12 12:00:00,15.064431,12.223137,8.496487,13.290134,15.879173,12.343336
2009-03-13 12:00:00,12.659768,8.945285,9.053731,14.84692,16.790474,13.7662735
2009-03-14 12:00:00,13.086876,7.417308,10.508405,14.254517,18.365685,13.223726
2009-03-15 12:00:00,16.266188,9.4119625,9.958413,14.624187,18.033802,14.266266
2009-03-16 12:00:00,17.161898,11.211205,10.093387,15.766407,18.136696,14.382713
2009-03-17 12:00:00,19.917036,12.804857,10.89635,15.447281,15.90786,14.945574
2009-03-18 12:00:00,21.174335,12.292458,9.428243,16.612934,15.819347,14.625502
2009-03-19 12:00:00,18.502314,12.697411,8.975135,14.876816,16.505505,14.867861
2009-03-20 12:00:00,16.578945,13.162598,7.8752522,9.166931,17.929066,11.274153
2009-03-21 12:00:00,19.163298,14.430239,9.527291,9.705336,14.593727,9.980303
2009-03-22 12:00:00,15.768521,16.165207,9.353698,12.117388,14.927387,9.9341135
2009-03-23 12:00:00,14.837867,19.989723,8.868906,15.937225,17.339172,13.434805
2009-03-24 12:00:00,13.81034,20.653393,5.83373,13.814684,17.66742,9.29576
2009-03-25 12:00:00,13.90797,17.911251,7.17321,13.339338,14.768017,11.34741
2009-03-26 12:00:00,14.500199,17.82214,8.033231,15.166767,16.893528,11.66288
2009-03-27 12:00:00,12.898285,20.313251,8.124632,13.8091755,18.48663,12.101084
2009-03-28 12:00:00,14.055373,7.366188,8.508329,14.286793,14.9885025,11.3072605
2009-03-29 12:00:00,13.260776,7.280225,7.700218,12.966076,11.379101,9.109831
2009-03-30 12:00:00,14.481631,13.105394,9.454754,14.730064,10.757721,11.926758
2009-03-31 12:00:00,15.002732,20.67154,11.930518,16.219288,11.481464,14.65679
2009-04-01 12:00:00,15.519034,10.840902,13.28328,13.193468,13.063084,14.231405
2009-04-02 12:00:00,16.15119,19.873333,13.389877,13.891834,13.402447,14.367311
2009-04-03 12:00:00,17.585089,10.476511,14.445785,16.141895,15.973278,14.366285
2009-04-04 12:00:00,17.562578,15.528448,14.647343,16.939049,17.425522,13.764242
2009-04-05 12:00:00,18.042622,20.274868,12.786452,17.603668,17.914318,15.468214
2009-04-06 12:00:00,20.012182,9.6629715,15.551926,18.525864,17.544422,17.233036
2009-04-07 12:00:00,20.391851,5.711164,14.763073,17.734974,14.619923,14.022614
2009-04-08 12:00:00,18.905127,11.887228,13.400104,17.690674,15.421333,13.445459
2009-04-09 12:00:00,20.138828,19.388882,14.04422,19.016613,16.90876,16.532154
2009-04-10 12:00:00,20.105028,21.417183,17.630941,17.892597,11.144535,17.428307
2009-04-11 12:00:00,20.29519,15.842958,16.281214,17.69329,12.139843,16.460556
2009-04-12 12:00:00,21.77109,20.49366,14.661532,18.417023,12.76889,16.03582
2009-04-13 12:00:00,21.452368,16.805733,14.468455,19.779518,16.562527,16.509874
2009-04-14 12:00:00,21.812494,10.425291,16.665827,19.27277,13.890629,17.5247
2009-04-15 12:00:00,20.074387,13.517595,19.33682,19.555134,13.022034,17.310139
2009-04-16 12:00:00,19.125095,16.560837,16.289099,15.053719,12.869637,13.811029
2009-04-17 12:00:00,19.869196,18.834389,13.109622,16.254879,13.808853,14.68421
2009-04-18 12:00:00,21.596102,21.597595,13.250938,16.40229,14.207344,13.109398
2009-04-19 12:00:00,21.50929,18.753315,13.766158,13.435789,15.783966,14.042873
2009-04-20 12:00:00,22.051775,14.117571,15.925448,15.759768,16.724834,16.489113
2009-04-21 12:00:00,21.537714,16.552824,16.273535,17.526133,18.246258,17.805054
2009-04-22 12:00:00,20.761023,17.765972,13.694298,19.48693,19.987125,18.735401
2009-04-23 12:00:00,19.965042,20.218155,13.719529,20.147797,21.536457,18.167244
2009-04-24 12:00:00,20.277166,21.257915,16.965918,15.801476,20.691677,16.850407
2009-04-25 12:00:00,19.508968,22.192268,17.142485,17.398262,17.433453,15.6388855
2009-04-26 12:00:00,19.96498,21.860413,16.812185,15.232655,13.425652,13.951248
2009-04-27 12:00:00,21.296335,22.682358,14.979492,16.279713,16.21865,14.527115
2009-04-28 12:00:00,21.270418,21.459488,14.670357,13.458218,16.056778,13.579699
2009-04-29 12:00:00,22.810038,22.715057,16.238022,15.274811,18.01175,13.747454
2009-04-30 12:00:00,23.961203,22.293743,17.979933,16.689701,15.7488365,16.838837
2009-05-01 12:00:00,23.744772,23.369354,18.30102,20.242252,16.707603,18.643192
2009-05-02 12:00:00,23.351187,23.73143,16.76494,22.214417,19.849419,18.189291
2009-05-03 12:00:00,23.276419,23.482151,15.802974,19.783955,21.52237,16.618942
2009-05-04 12:00:00,22.943497,19.967506,11.827125,19.782639,21.391636,17.255033
2009-05-05 12:00:00,23.398964,23.495892,13.0807295,18.279537,20.832584,16.533478
2009-05-06 12:00:00,24.375488,24.942406,14.285657,20.110897,23.355019,17.589396
2009-05-07 12:00:00,24.806177,25.305767,15.6250925,21.353123,23.864784,19.844452
2009-05-08 12:00:00,25.84699,25.156574,15.037511,20.788567,22.549469,16.96894
2009-05-09 12:00:00,24.412796,24.5714,15.405345,21.334229,21.377903,17.228752
2009-05-10 12:00:00,24.533304,24.49638,17.460423,22.274792,19.22638,18.642315
2009-05-11 12:00:00,24.841713,24.303135,14.361497,22.876762,20.010014,17.937042
2009-05-12 12:00:00,24.493105,23.063213,15.230853,22.60144,20.372047,18.453815
2009-05-13 12:00:00,24.135454,24.314915,16.229757,22.47837,19.697304,19.4664
2009-05-14 12:00:00,22.91762,23.094006,16.65502,22.425652,18.794094,17.792465
2009-05-15 12:00:00,23.006952,23.698605,15.777141,19.951405,18.693024,14.669905
2009-05-16 12:00:00,23.400644,22.971184,14.8059435,22.767433,21.020206,17.630636
2009-05-17 12:00:00,24.882864,21.077007,16.032082,24.139294,20.29641,16.14627
2009-05-18 12:00:00,25.909142,14.585325,16.2958,24.809021,20.951366,18.42567
2009-05-19 12:00:00,26.685135,15.121857,17.834845,25.2994,22.295547,19.260342
2009-05-20 12:00:00,26.741484,15.968103,18.248556,26.443115,25.053219,21.046612
2009-05-21 12:00:00,23.87811,19.894642,17.50699,26.598843,24.937515,21.474346
2009-05-22 12:00:00,25.093111,20.90263,16.236795,26.478008,25.011608,20.238888
2009-05-23 12:00:00,25.505507,21.42603,18.303703,27.03024,19.109913,20.939178
2009-05-24 12:00:00,25.520327,21.29964,20.684893,28.577225,20.937416,25.815998
2009-05-25 12:00:00,25.041458,20.651257,20.182917,29.359894,19.585567,25.237293
2009-05-26 12:00:00,25.525614,23.436836,18.382584,28.93753,21.180801,17.942123
2009-05-27 12:00:00,26.527924,23.428974,13.949136,26.977123,21.621796,18.301947
2009-05-28 12:00:00,25.01943,22.036129,17.078588,23.720108,24.19802,19.993809
2009-05-29 12:00:00,25.069939,21.045956,18.291864,25.802307,24.251995,21.533
2009-05-30 12:00:00,24.97194,20.422787,19.103033,21.43148,25.434875,21.65596
2009-05-31 12:00:00,26.073458,20.898067,21.23427,21.385593,24.860504,20.61005
2009-06-01 12:00:00,27.068283,21.442478,22.186705,20.735249,25.87305,22.427158
2009-06-02 12:00:00,25.75825,23.054718,21.608751,23.312693,25.87553,22.226929
2009-06-03 12:00:00,26.584234,22.544697,15.468211,26.139511,26.251816,22.840687
2009-06-04 12:00:00,26.87813,21.394642,13.415885,24.65805,24.810863,20.3469
2009-06-05 12:00:00,26.036886,19.577782,12.520299,24.011444,21.070389,19.205757
2009-06-06 12:00:00,25.289053,19.981628,15.037837,24.027412,20.254826,16.088865
2009-06-07 12:00:00,26.031824,21.61118,13.739028,22.852026,20.477394,18.713573
2009-06-08 12:00:00,25.42212,23.306461,16.366743,23.329132,19.283672,16.495749
2009-06-09 12:00:00,26.26188,24.290844,16.414267,23.432686,21.686157,19.622578
2009-06-10 12:00:00,26.244019,25.399654,16.814371,23.47332,23.68203,18.051603
2009-06-11 12:00:00,26.57611,26.380177,15.91597,24.828056,25.843578,21.435204
2009-06-12 12:00:00,26.492601,25.487556,15.731627,25.851906,28.080776,22.37096
2009-06-13 12:00:00,26.053354,25.473198,18.900877,26.804657,29.51733,25.063068
2009-06-14 12:00:00,26.5012,24.953537,19.550642,28.068508,28.764908,24.20285
2009-06-15 12:00:00,25.955626,25.391556,19.517021,27.62059,27.259266,19.931602
2009-06-16 12:00:00,24.188898,26.068745,17.808985,28.475685,24.042618,22.784916
2009-06-17 12:00:00,26.27887,25.298893,19.40721,24.968544,27.43423,24.692822
2009-06-18 12:00:00,26.866556,26.327019,18.651377,28.076866,29.506882,22.96246
2009-06-19 12:00:00,27.278639,25.592789,17.268589,28.656975,29.794743,22.436085
2009-06-20 12:00:00,28.343588,25.88747,16.102205,24.728485,27.074722,19.560831
2009-06-21 12:00:00,28.533651,25.876713,16.638422,21.771614,24.773705,20.7687
2009-06-22 12:00:00,28.032312,25.13712,18.193563,23.90188,26.051369,20.665497
2009-06-23 12:00:00,28.497526,25.521248,20.10421,23.759018,27.044964,21.726719
2009-06-24 12:00:00,29.06695,25.728123,21.529892,24.721863,26.190754,22.58828
2009-06-25 12:00:00,29.064161,27.34348,20.743603,26.157207,24.56247,24.285034
2009-06-26 12:00:00,28.718155,26.201588,20.50466,25.142834,24.592949,23.575748
2009-06-27 12:00:00,29.554977,26.995575,21.022163,24.16137,25.89209,24.2486
2009-06-28 12:00:00,29.30571,26.468502,21.840988,26.634235,26.238148,25.156776
2009-06-29 12:00:00,28.122986,26.816978,24.07785,27.389359,28.194336,27.745922
2009-06-30 12:00:00,26.868906,26.066456,24.745728,27.582348,29.706806,27.517742
2009-07-01 12:00:00,27.127542,25.683212,24.799242,27.74068,30.217747,27.46328
2009-07-02 12:00:00,26.282202,26.156677,26.487364,27.575577,29.384506,28.177895
2009-07-03 12:00:00,28.262445,25.61972,24.374657,28.584099,29.582035,26.548458
2009-07-04 12:00:00,28.111761,27.635239,23.0948,28.914509,28.09377,26.924683
2009-07-05 12:00:00,27.471628,27.252628,22.716768,27.776112,28.019245,26.188847
2009-07-06 12:00:00,28.40452,27.609203,21.057962,27.097824,27.226265,24.895115
2009-07-07 12:00:00,29.370497,26.222935,19.3141,24.130089,25.660618,22.21783
2009-07-08 12:00:00,28.08634,26.06018,17.670961,26.629898,25.00864,21.386406
2009-07-09 12:00:00,27.740906,26.579197,17.087914,25.529919,26.064613,21.2626
2009-07-10 12:00:00,27.975916,26.733166,16.469624,24.66159,26.762909,21.249645
2009-07-11 12:00:00,28.01011,26.020176,17.439875,25.299927,27.589226,22.875187
2009-07-12 12:00:00,27.439219,26.143162,19.739761,25.716705,29.265503,21.993519
2009-07-13 12:00:00,26.838781,26.673244,20.67526,27.384071,29.783531,24.177921
2009-07-14 12:00:00,27.974573,26.624443,21.730196,28.506935,27.520973,25.537922
2009-07-15 12:00:00,28.036417,26.509083,22.83634,28.502052,27.098362,24.772083
2009-07-16 12:00:00,28.931036,26.31549,23.102137,30.646988,28.996967,26.500065
2009-07-17 12:00:00,27.70765,26.055882,21.840055,28.649895,24.73555,22.256832
2009-07-18 12:00:00,28.438303,24.736385,17.752333,24.083336,24.113781,21.129738
2009-07-19 12:00:00,29.22094,23.358456,18.870428,25.450356,26.812817,21.595829
2009-07-20 12:00:00,28.586159,25.588314,19.337229,26.162071,27.878754,23.397022
2009-07-21 12:00:00,28.168142,26.486774,21.954475,27.269753,30.177132,26.602432
2009-07-22 12:00:00,27.046646,26.848911,22.05713,27.952599,29.098888,26.079647
2009-07-23 12:00:00,25.623085,25.277973,20.522131,29.199898,28.281261,24.012138
2009-07-24 12:00:00,25.954096,24.892979,18.180727,29.891571,27.630089,24.367348
2009-07-25 12:00:00,27.32781,25.57011,18.65715,28.629059,27.876663,23.043064
2009-07-26 12:00:00,27.932991,26.598045,20.243515,27.839005,29.879913,25.060093
2009-07-27 12:00:00,25.91111,26.438278,21.182152,28.0167,29.557156,21.263897
2009-07-28 12:00:00,26.508713,27.338905,20.079802,28.788773,28.997807,24.982635
2009-07-29 12:00:00,27.049133,27.96923,22.370813,29.373428,28.809093,25.71043
2009-07-30 12:00:00,27.123535,27.806274,19.838804,30.164856,29.419601,24.591366
2009-07-31 12:00:00,27.518518,26.960094,20.062044,28.679825,29.458183,24.650124
2009-08-01 12:00:00,27.489136,27.47176,22.485846,29.033554,26.734955,25.188892
2009-08-02 12:00:00,28.034042,27.229252,22.009064,28.456367,25.651932,22.390545
2009-08-03 12:00:00,28.560137,26.320007,19.19188,23.960106,26.594955,22.732327
2009-08-04 12:00:00,28.01235,25.934452,21.727972,26.17778,28.95892,25.860569
2009-08-05 12:00:00,27.962278,26.027233,24.565454,28.72158,30.650291,26.37791
2009-08-06 12:00:00,28.42476,26.43851,25.175169,29.217041,29.537815,27.344585
2009-08-07 12:00:00,28.503721,25.877163,23.129793,29.577232,28.738182,23.570377
2009-08-08 12:00:00,28.978241,26.218468,23.181265,26.71077,28.169727,25.06414
2009-08-09 12:00:00,28.946173,26.651634,22.744856,27.52845,27.599705,25.335537
2009-08-10 12:00:00,29.061937,26.7697,22.996332,26.723785,27.160213,26.07024
2009-08-11 12:00:00,27.354166,26.230705,20.709595,28.519505,27.943768,24.872215
2009-08-12 12:00:00,28.377466,26.184212,19.865898,28.287315,29.364216,26.866451
2009-08-13 12:00:00,28.867966,25.269997,20.4703,28.743973,29.908756,24.826962
2009-08-14 12:00:00,27.76803,25.164906,20.262648,28.802124,30.446278,26.105423
2009-08-15 12:00:00,26.805613,25.465248,23.246437,28.769218,29.991096,28.177158
2009-08-16 12:00:00,26.688726,25.738556,24.184595,30.351654,30.35178,27.15018
2009-08-17 12:00:00,27.007187,25.439342,21.848425,30.940697,31.635227,25.571545
2009-08-18 12:00:00,27.69367,25.635006,22.156813,31.781433,31.766293,27.716236
2009-08-19 12:00:00,27.91274,25.814247,25.590927,31.444626,31.924015,30.775154
2009-08-20 12:00:00,27.67341,26.638954,27.313349,32.244904,30.965721,29.802654
2009-08-21 12:00:00,27.008377,26.625809,19.273216,31.35122,30.357506,25.131351
2009-08-22 12:00:00,27.580872,24.818474,20.14497,29.640144,30.619236,26.634354
2009-08-23 12:00:00,27.733765,24.162308,24.098864,29.49926,31.07753,27.51807
2009-08-24 12:00:00,26.583931,24.814499,23.611168,28.722633,29.295277,26.889118
2009-08-25 12:00:00,26.10167,25.1571,22.10244,28.745415,27.277252,23.829967
2009-08-26 12:00:00,26.48057,25.26612,22.309898,28.267677,28.128174,25.458496
2009-08-27 12:00:00,26.59337,24.557133,22.77478,29.319595,29.852959,25.23262
2009-08-28 12:00:00,25.870628,25.036121,21.211494,30.08477,30.008896,24.9217
2009-08-29 12:00:00,25.713976,23.741734,18.109983,29.211971,27.460075,23.053623
2009-08-30 12:00:00,23.598417,24.114803,17.895384,25.78682,28.451412,24.083622
2009-08-31 12:00:00,25.211237,23.795609,22.980059,27.577347,29.091057,26.707153
2009-09-01 12:00:00,25.681555,22.153309,22.303022,28.412785,28.075207,21.166756
2009-09-02 12:00:00,25.18741,20.651497,19.727764,28.79242,27.503265,22.801815
2009-09-03 12:00:00,25.307634,21.609917,17.556005,26.807991,27.343674,22.172508
2009-09-04 12:00:00,25.301004,23.027878,17.525566,27.139412,27.807995,20.041513
2009-09-05 12:00:00,25.71087,24.15092,17.21624,26.707031,24.733997,20.059982
2009-09-06 12:00:00,24.532402,23.620762,16.748476,25.69189,26.542702,22.558338
2009-09-07 12:00:00,25.32074,23.766262,20.240705,24.853416,27.43771,24.247387
2009-09-08 12:00:00,23.945404,24.126163,24.593592,25.408085,26.890488,26.455475
2009-09-09 12:00:00,24.136261,24.53569,20.003252,23.483309,26.969975,24.28823
2009-09-10 12:00:00,23.9378,23.753796,18.9167,25.735413,27.466026,22.114643
2009-09-11 12:00:00,23.915247,23.90916,18.88029,27.405293,26.819492,22.07825
2009-09-12 12:00:00,23.727957,23.68866,18.84836,26.28239,26.035374,21.837154
2009-09-13 12:00:00,24.512724,23.54131,15.534252,25.558685,24.470493,21.222382
2009-09-14 12:00:00,24.83751,24.05479,17.381239,20.489902,22.209122,19.975471
2009-09-15 12:00:00,24.662191,23.419624,16.667017,19.679758,19.976562,16.357784
2009-09-16 12:00:00,24.936272,22.753521,19.120949,20.35946,20.639534,18.139816
