,Date,Temperature_C_london,Temperature_C_rome,Temperature_C_milan,Temperature_C_sabine,Temperature_C_singapore,Temperature_C_delhi,Temperature_C_paris,Temperature_C_amsterdam,Temperature_C_berlin,Temperature_C_beijing,Temperature_C_houston,Temperature_C_shanghai,Temperature_C_madrid,Temperature_C_seoul,Temperature_C_tokyo,Temperature_C_warsaw,Temperature_C_barcelona,Temperature_C_marseille
27,2009-01-28,5.8117523,9.994862,7.6131134,7.308182,26.363914,21.036783,3.027542,1.1006674,-1.4602203,0.64576215,3.2254536,9.010701,12.265282,-0.7389018,6.59079,0.3962555,11.23275,8.221184
28,2009-01-29,3.4672546,10.854809,8.183128,2.9483337,26.179604,20.858046,-0.04531352,1.5854119,-1.7201945,1.0298767,-0.08519491,7.973711,13.912674,0.1810201,9.435692,0.9350535,12.156265,8.844444
29,2009-01-30,5.160969,10.985432,7.0301056,5.081726,26.260391,21.017143,2.8414052,2.7871568,-0.9835307,-1.4763693,2.0630596,5.767056,10.338264,4.102249,9.633347,0.5553182,12.253845,10.361679
30,2009-01-31,4.4953804,10.779316,3.2503128,8.56665,26.329506,20.92113,3.234782,1.78754,1.0211792,-1.1195068,3.064967,6.016388,8.554245,3.6964264,8.173798,-0.67405194,12.010468,11.004623
31,2009-02-01,1.2012482,11.893089,2.2318115,13.578857,26.028114,21.046139,1.4136556,-0.97956,-1.3233948,-3.3252766,13.122737,10.435116,2.351982,4.4356995,4.872734,-1.2266235,11.34362,9.447174
32,2009-02-02,-1.5312691,12.499794,0.8432541,12.669609,26.699898,21.895882,2.9769642,1.2985263,1.0315298,0.46824136,12.610637,10.616909,6.33461,3.6548157,6.5998993,0.13074239,11.155365,10.041489
33,2009-02-03,1.9141808,14.762424,3.9932861,5.950989,26.625908,23.845781,0.65334576,3.1773682,2.477829,-1.8024496,0.7803853,8.872515,6.180084,2.876887,9.005234,-1.7491201,10.095734,11.23336
34,2009-02-04,2.743435,12.529568,6.2118835,5.9396973,26.429855,24.137936,0.18992107,1.4073181,1.6018881,-2.5542908,6.1171722,8.444475,8.8576355,2.760971,6.7201996,3.019994,12.827225,12.465446
35,2009-02-05,4.655571,14.364407,9.757225,5.7648315,26.573143,24.240091,8.346619,3.3497145,4.783203,1.6715698,4.5362244,9.242394,7.336128,4.0887756,7.659981,1.7913564,11.296387,12.97345
36,2009-02-06,2.3905792,13.373882,7.1025467,12.987778,26.358505,24.126213,9.74968,6.6878967,3.8481853,0.5579478,13.06014,8.3171625,3.3530197,1.104009,4.5562057,3.5889332,11.547958,12.102409
37,2009-02-07,1.8064041,12.190094,9.593704,14.04789,26.754555,21.63539,1.3003489,3.7145283,1.6788687,2.961558,14.666789,9.191186,6.0243835,2.357137,7.164093,11.374715,10.435905,8.301971
38,2009-02-08,3.433567,10.733757,10.753731,14.619965,27.102463,21.140856,3.8276215,3.475691,2.7184398,0.8607076,15.184016,8.139814,7.230667,1.5383759,5.026848,6.9246116,10.456467,7.7167587
39,2009-02-09,5.0505333,11.358978,10.4935,17.20729,27.077965,21.814766,4.7156677,4.440386,3.213384,5.278885,17.713308,8.887922,10.129578,3.7578633,6.1642914,0.85807294,13.708923,9.935989
40,2009-02-10,4.01754,12.826027,6.4880447,18.360405,27.593216,20.219757,5.7044473,1.943295,3.8139496,6.2862906,19.893143,9.501726,11.525642,3.6918743,7.246414,0.92614746,14.51255,12.6539
41,2009-02-11,4.97303,8.811569,10.243813,14.321991,26.497742,18.680939,4.8028817,4.814002,1.2662863,7.0369873,12.969223,11.68689,10.675095,2.2926586,5.36644,3.131256,11.7285,8.530296
42,2009-02-12,2.8316116,9.405445,7.8948517,11.8112335,27.205193,20.845022,3.9383698,4.1097684,-0.25388083,3.9914348,7.764231,18.225576,12.572983,10.624059,8.913399,0.44722494,9.441818,8.43895
43,2009-02-13,4.2007523,7.787609,7.2715454,16.747902,27.796745,23.821102,2.4142864,2.5390692,0.4237264,4.641378,16.287003,9.474932,11.6519165,5.4862366,15.065613,0.3766276,9.615692,6.830757
44,2009-02-14,4.5801315,7.099861,7.4674835,18.094513,27.692764,23.837425,3.0742848,3.5895183,-0.86999005,1.8714905,17.575394,8.863502,11.894852,1.8436178,13.4300995,0.5564677,10.818161,7.239128
45,2009-02-15,6.6108437,8.543903,7.330185,15.109146,28.194923,20.464298,4.1401467,3.472022,0.3715159,-2.987264,14.000758,7.9385853,9.522766,-4.411733,11.455338,-0.26483154,7.0244217,7.0707474
46,2009-02-16,9.2115135,7.8689346,8.038658,9.5312195,27.135246,21.015926,7.5786386,6.73054,0.5813802,-1.5353597,10.584844,5.4142795,9.596512,-5.3654532,4.1319427,-1.5305837,9.223038,7.8637466
47,2009-02-17,9.902195,8.522156,9.870697,14.86348,27.286125,21.623426,9.042119,5.2834573,-1.6201223,-2.428711,15.229813,4.9457126,10.731812,-3.4910076,4.8971176,-3.5538433,10.664452,9.689102
